train_mse	train_mae	val_mse	val_mae	rollout_mse	rollout_mae
0.0361176058650016	0.1879859417676925	0.034715961664915	0.183795541524887	4.9251389503479	1.926601886749268
0.0264834985136985	0.1596926748752594	0.0170296728610992	0.1269199550151825	2.3775131702423096	1.3215337991714478
0.0046704425476491	0.0497893653810024	0.0015544050838798	0.0244149267673492	0.1762794852256775	0.3123682737350464
0.001180101186037	0.0212630555033683	0.0010818247683346	0.0187071561813354	0.1054987385869026	0.266912043094635
0.0008534109801985	0.0164843164384365	0.0010261103743687	0.0170612949877977	0.0968462526798248	0.2507672309875488
0.0008146014297381	0.0150467287749052	0.0010043545626103	0.0163436960428953	0.091443158686161	0.2395659685134887
0.0007467604591511	0.0139514207839965	0.0008846407872624	0.0149453841149806	0.0592469722032547	0.1844116598367691
0.0003497222205623	0.0108863553032279	0.0003596831229515	0.0113665014505386	0.0099416989833116	0.0779254510998725
0.0002490698825567	0.0092870704829692	0.0002763580996543	0.0097257122397422	0.0040563344955444	0.0476203300058841
0.0002138996060239	0.0085550956428051	0.0002363262174185	0.008994529955089	0.0029891906306147	0.0406506285071373
0.0001591644977452	0.0072855870239436	0.000177654903382	0.00760582042858	0.0015125408535823	0.028744513168931
0.0001451097778044	0.0067813051864504	0.0001610030594747	0.0069259060546755	0.0008611361845396	0.0213076379150152
0.0001429867115803	0.0066295685246586	0.000157408619998	0.0067208101972937	0.0007131122983992	0.0193832721561193
0.0001401999761583	0.0064829858019948	0.0001550898887217	0.0066164759919047	0.0006005923496559	0.0173947773873806
0.0001403904752805	0.0064929821528494	0.0001534924376755	0.0065146503038704	0.0005456960643641	0.0163519736379385
0.0001371157122775	0.0063647096976637	0.0001520153018645	0.0064496183767914	0.0004989547887817	0.015404406003654
0.0001380469766445	0.006418528035283	0.0001507853012299	0.0063948421739041	0.0004767173086293	0.0150163741782307
0.0001355456770397	0.0063065495342016	0.0001493141171522	0.0063438843935728	0.000438987306552	0.0139744598418474
0.0001346825738437	0.0063529619947075	0.0001472729636589	0.0062797279097139	0.0004172909830231	0.0134024173021316
